pool_name,base_mint,pool_address,deployed_at,closed_at,pnl_pct,pnl_usd,fees_earned_usd,fees_earned_sol,fee_earned_pct,range_efficiency,minutes_held,close_reason,close_category,band,strategy,volatility_at_deploy,fee_tvl_ratio,initial_fee_tvl_24h,organic_score
PUP-SOL,HrMp2mmpyDZJ65Mspzib7NJPXeZe2cvY5stfHG9nhWTH,6iQxLLAjSBC54NL3RDC9Vko7anNzwUoy2GuSG7u237Fb,,2026-05-05T21:15:31.552Z,-0.14,-0.06,1.645819032971e-06,,3.7945048262282247e-06,50,4,Upper OOR close (Band C): out of range for 2m (limit: 1m),OOR,C,bid_ask,3.8,,,
PUP-SOL,HrMp2mmpyDZJ65Mspzib7NJPXeZe2cvY5stfHG9nhWTH,6iQxLLAjSBC54NL3RDC9Vko7anNzwUoy2GuSG7u237Fb,,2026-05-05T22:01:20.305Z,0.44,0.19,0.029039891810532528,,0.06713946500016457,96.6,29,Protective close (Band B): pumped above range but pnl 0.20% < 1.5% threshold,Protective Close,B,bid_ask,,,,
PUP-SOL,HrMp2mmpyDZJ65Mspzib7NJPXeZe2cvY5stfHG9nhWTH,6iQxLLAjSBC54NL3RDC9Vko7anNzwUoy2GuSG7u237Fb,,2026-05-06T01:41:01.039Z,0.64,0.28,0.47205130006468554,,1.0912152223535632,100,155,Trailing TP (Band C): peak 1.03% → current 0.22% (drop 0.81% >= 0.75%),Trailing TP,C,bid_ask,4.7,,,
Wish-SOL,2ssMotVbTUfRJev2UnibHzHsoeszPzgwbfsTZPSHpump,5eeVtRPEasMzUMYXbCKMMr86313g4uSeLcaiHeGyc6yu,,2026-05-05T02:19:40.474Z,0.26,0.11,0.007413292011292868,,0.017573197923879423,87,54,Upper OOR close (Band A): out of range for 7m (limit: 7m),OOR,A,bid_ask,,,,
Wish-SOL,2ssMotVbTUfRJev2UnibHzHsoeszPzgwbfsTZPSHpump,5eeVtRPEasMzUMYXbCKMMr86313g4uSeLcaiHeGyc6yu,,2026-05-05T18:30:41.298Z,0.01,0.01,0.000142314312577706,,0.0003322425894962697,42.9,7,Upper OOR close (Band B): out of range for 4m (limit: 4m),OOR,B,bid_ask,,,,
Wish-SOL,2ssMotVbTUfRJev2UnibHzHsoeszPzgwbfsTZPSHpump,5eeVtRPEasMzUMYXbCKMMr86313g4uSeLcaiHeGyc6yu,,2026-05-05T18:49:36.363Z,0.17,0.07,0.001235250583740886,,0.002884710651669964,57.1,14,Upper OOR close (Band B): out of range for 5m (limit: 4m),OOR,B,bid_ask,,,,
Wish-SOL,2ssMotVbTUfRJev2UnibHzHsoeszPzgwbfsTZPSHpump,5eeVtRPEasMzUMYXbCKMMr86313g4uSeLcaiHeGyc6yu,,2026-05-07T10:35:10.431Z,-1.16,-0.52,0.11672537423786754,,0.259421078961048,100,180,Low yield: fee/TVL 2.06% < min 5% (age: 180m),Low Yield,unknown,bid_ask,,,,
Staccana-SOL,73edX6xoGY4v5y2hzuKdrUbJXLntqgmo74au1Ki1pump,5zcaS5XgxgNQcMkNZq5AJi8inwrx3mNv9WqiAUUk4eg9,,2026-05-05T06:41:51.978Z,-0.06,-0.02,0.13861310119152614,,0.32654933872992536,90.9,55,Protective close (Band A): pumped above range but pnl -0.16% < 2% threshold,Protective Close,A,bid_ask,,,,
SCAM-SOL,6AVAUKa9uxQpruHZUinFECpXEh1usRVtzQWK8N2wpump,EsT7ZcG2zqApdLYvhsiVosZdfidcTD9Qf7E1wo7HbaDm,,2026-05-05T06:14:59.947Z,-0.22,-0.1,0.00518554599591653,,0.01219730534054588,83.3,18,Upper OOR close (Band B): out of range for 3m (limit: 3m),OOR,B,bid_ask,,,,
SCAM-SOL,6AVAUKa9uxQpruHZUinFECpXEh1usRVtzQWK8N2wpump,EsT7ZcG2zqApdLYvhsiVosZdfidcTD9Qf7E1wo7HbaDm,,2026-05-05T19:49:02.325Z,2.02,0.86,1.0627097801004581,,2.4899605973439756,100,121,Trailing TP (Band B): peak 2.69% → current 1.76% (drop 0.93% >= 0.75%),Trailing TP,B,bid_ask,,,,
SCAM-SOL,6AVAUKa9uxQpruHZUinFECpXEh1usRVtzQWK8N2wpump,EsT7ZcG2zqApdLYvhsiVosZdfidcTD9Qf7E1wo7HbaDm,,2026-05-05T20:35:30.455Z,0.62,0.27,0.01555605022691466,,0.03603565658674351,81,42,Upper OOR close (Band A): out of range for 8m (limit: 7m),OOR,A,bid_ask,,,,
SCAM-SOL,6AVAUKa9uxQpruHZUinFECpXEh1usRVtzQWK8N2wpump,EsT7ZcG2zqApdLYvhsiVosZdfidcTD9Qf7E1wo7HbaDm,,2026-05-06T11:18:31.389Z,0.37,0.16,0.000876913704621263,,0.0019623192859062927,50,18,Upper OOR close (Band A): out of range for 8m (limit: 8m),OOR,A,bid_ask,,,,
SCAM-SOL,6AVAUKa9uxQpruHZUinFECpXEh1usRVtzQWK8N2wpump,EsT7ZcG2zqApdLYvhsiVosZdfidcTD9Qf7E1wo7HbaDm,,2026-05-07T05:46:10.731Z,0.48,0.21,0.02155156522980533,,0.04894652783798366,95.3,86,Upper OOR close (Band B): out of range for 4m (limit: 4m),OOR,B,bid_ask,,,,
Apple-SOL,Aw5SxKyYhXFdZj2BHCqs11UaV5ohwpFQjauB9jFhpump,D1ThWcrzeXP89d9BU63dqxpacChpnUQ2jEc5YHgnwQq9,,2026-05-05T15:15:19.329Z,0.36,0.16,0.021220015751535846,,0.04967463902163982,56.3,16,Upper OOR close (Band A): out of range for 7m (limit: 7m),OOR,A,bid_ask,0.46,,,
Apple-SOL,Aw5SxKyYhXFdZj2BHCqs11UaV5ohwpFQjauB9jFhpump,D1ThWcrzeXP89d9BU63dqxpacChpnUQ2jEc5YHgnwQq9,,2026-05-05T18:20:49.693Z,1.58,0.67,0.5353247952100135,,1.2540567765868882,94.1,34,Harvest close (Band B): pumped above range with pnl 1.64% >= 1.5% threshold,Harvest Close,B,bid_ask,2.82,,,
GME-SOL,35Lod8esDj2c1QuzceUYMRhBwTJuEzoYD4fqttk1pump,6ar1dCseS9ba97hYzYpTyEmjs9xPjnmd4qXAu4vxN11b,,2026-05-05T19:25:03.317Z,-14.74,-6.33,2.8175053391245326,,6.565825690844262,72.7,33,Stop loss: PnL -15.37% <= -15% (bid_ask),Stop Loss,unknown,bid_ask,,,,
Apple-SOL,Aw5SxKyYhXFdZj2BHCqs11UaV5ohwpFQjauB9jFhpump,4rbcx3WiozWQoRmygVDSXoQa9Kz37kpPNzQ7etuTfqkn,,2026-05-05T19:27:20.347Z,0.29,0.13,0.000480430229899653,,0.0011164496175400428,100,4,Protective close (Band B): pumped above range but pnl 0.26% < 1.5% threshold,Protective Close,B,bid_ask,,,,
Apple-SOL,Aw5SxKyYhXFdZj2BHCqs11UaV5ohwpFQjauB9jFhpump,4rbcx3WiozWQoRmygVDSXoQa9Kz37kpPNzQ7etuTfqkn,,2026-05-05T21:13:46.732Z,0.05,0.02,0.00144841012488709,,0.003342897022928014,30,10,Upper OOR close (Band A): out of range for 7m (limit: 7m),OOR,A,bid_ask,,,,
Apple-SOL,Aw5SxKyYhXFdZj2BHCqs11UaV5ohwpFQjauB9jFhpump,4rbcx3WiozWQoRmygVDSXoQa9Kz37kpPNzQ7etuTfqkn,,2026-05-05T21:30:01.243Z,1.13,0.49,0.4655258047297484,,1.0761197964554152,66.7,6,Protective close (Band A): pumped above range but pnl 1.11% < 2% threshold,Protective Close,A,bid_ask,,,,
Apple-SOL,Aw5SxKyYhXFdZj2BHCqs11UaV5ohwpFQjauB9jFhpump,4rbcx3WiozWQoRmygVDSXoQa9Kz37kpPNzQ7etuTfqkn,,2026-05-07T15:28:13.543Z,-0.12,-0.05,0.004169984157331458,,0.009472006125781477,40,5,Upper OOR close (Band B): out of range for 3m (limit: 3m),OOR,B,bid_ask,1.9497,,,
Apple-SOL,Aw5SxKyYhXFdZj2BHCqs11UaV5ohwpFQjauB9jFhpump,4rbcx3WiozWQoRmygVDSXoQa9Kz37kpPNzQ7etuTfqkn,,2026-05-09T09:27:37.630Z,-0.18,-0.08,0.10389790791084315,,0.22160848074725814,95.5,66,Upper OOR close (Band B): out of range for 3m (limit: 3m),OOR,B,bid_ask,1.9497,,,
Apple-SOL,Aw5SxKyYhXFdZj2BHCqs11UaV5ohwpFQjauB9jFhpump,4rbcx3WiozWQoRmygVDSXoQa9Kz37kpPNzQ7etuTfqkn,,2026-05-09T22:30:33.857Z,0.09,0.04,0.07740668159896628,,0.16578797293747896,92.1,38,Upper OOR close (Band B): out of range for 3m (limit: 3m),OOR,B,bid_ask,1.9497,,,
Apple-SOL,Aw5SxKyYhXFdZj2BHCqs11UaV5ohwpFQjauB9jFhpump,4rbcx3WiozWQoRmygVDSXoQa9Kz37kpPNzQ7etuTfqkn,,2026-05-10T17:12:50.367Z,-0.02,-0.01,0.000354245410887387,,0.0007452866793696063,33.3,6,Upper OOR close (Band B): out of range for 4m (limit: 4m),OOR,B,bid_ask,,,,
Apple-SOL,Aw5SxKyYhXFdZj2BHCqs11UaV5ohwpFQjauB9jFhpump,4rbcx3WiozWQoRmygVDSXoQa9Kz37kpPNzQ7etuTfqkn,,2026-05-11T06:47:37.602Z,-0.12,-0.06,0.03255500289932969,,0.06799770779987985,80,40,Upper OOR close (Band B): out of range for 8m (limit: 4m),OOR,B,bid_ask,,,,
HANTA-SOL,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,3myCH5uoBixL3Cb24Rr5mPPRPsgBu5uZ7ufQvbndQJ5m,,2026-05-06T11:18:00.119Z,0.15,0.07,0.000606079130083849,,0.0013537793540058,100,2,Protective close (Band C): pumped above range but pnl 0.20% < 1% threshold,Protective Close,C,bid_ask,4.1,,,
HANTA-SOL,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,3myCH5uoBixL3Cb24Rr5mPPRPsgBu5uZ7ufQvbndQJ5m,,2026-05-07T02:35:09.501Z,0.08,0.03,0.010675612529416945,,0.024270733757382854,66.7,15,Upper OOR close (Band B): out of range for 5m (limit: 3m),OOR,B,bid_ask,2.34,,,
HANTA-SOL,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,3myCH5uoBixL3Cb24Rr5mPPRPsgBu5uZ7ufQvbndQJ5m,,2026-05-07T04:41:04.627Z,-0.18,-0.08,1.75977181085e-07,,3.9931454838867025e-07,16.7,6,Protective close (Band A): pumped above range but pnl -0.26% < 2% threshold,Protective Close,A,bid_ask,1.41,,,
USDUC-SOL,CB9dDufT3ZuQXqqSfa1c5kY935TEreyBw9XJXxHKpump,67C4rdUriP9EFbUo7CeoiFhM52Jgu9LZpe37Jk2k1tHZ,,2026-05-07T01:54:30.309Z,-0.17,-0.08,0.000276342540946822,,0.0006261208463921086,60,5,Upper OOR close (Band C): out of range for 2m (limit: 2m),OOR,C,bid_ask,3.4027,,,
USDUC-SOL,CB9dDufT3ZuQXqqSfa1c5kY935TEreyBw9XJXxHKpump,67C4rdUriP9EFbUo7CeoiFhM52Jgu9LZpe37Jk2k1tHZ,,2026-05-07T04:38:09.572Z,0.81,0.36,0.42218485694900093,,0.9563540717962858,98.7,154,Upper OOR close (Band C): out of range for 2m (limit: 2m),OOR,C,bid_ask,3.4027,,,
USDUC-SOL,CB9dDufT3ZuQXqqSfa1c5kY935TEreyBw9XJXxHKpump,67C4rdUriP9EFbUo7CeoiFhM52Jgu9LZpe37Jk2k1tHZ,,2026-05-07T06:58:32.633Z,1.2,0.53,0.3898821094374233,,0.8802118838292895,100,99,Trailing TP (Band C): peak 1.57% → current 0.59% (drop 0.98% >= 0.75%),Trailing TP,C,bid_ask,3.4027,,,
HANTA-SOL,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,DQiGxibDKXMSL8uTjMzVE5HK4w1CcUe2tLJvEVGVw8N2,,2026-05-07T20:13:49.270Z,9.19,4.07,4.911322593780788,,11.102753150781492,100,36,Trailing TP (Band B): peak 10.46% → current 8.36% (drop 2.10% >= 0.75%),Trailing TP,B,bid_ask,,,,
HANTA-SOL,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,DQiGxibDKXMSL8uTjMzVE5HK4w1CcUe2tLJvEVGVw8N2,,2026-05-08T18:57:22.875Z,-0.06,-0.03,4.3154849358398e-05,,9.336773809434719e-05,0,4,Upper OOR close (Band B): out of range for 4m (limit: 4m),OOR,B,bid_ask,,,,
HANTA-SOL,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,4d4XPuZ5392FMYGMoPfTdoSDXfBV9nByAcVbbT7ZQ4Ho,,2026-05-07T22:52:46.679Z,0.05,0.02,0.000736432292096375,,0.0016747041365522209,0,1,Protective close (Band B): pumped above range but pnl -0.02% < 1.5% threshold,Protective Close,B,bid_ask,2.9845,,,
HANTA-SOL,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,4d4XPuZ5392FMYGMoPfTdoSDXfBV9nByAcVbbT7ZQ4Ho,,2026-05-08T00:43:57.637Z,-0.05,-0.02,0.00922803789641681,,0.020885247701610102,57.1,7,Upper OOR close (Band B): out of range for 3m (limit: 3m),OOR,B,bid_ask,2.9845,,,
HANTA-SOL,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,4d4XPuZ5392FMYGMoPfTdoSDXfBV9nByAcVbbT7ZQ4Ho,,2026-05-08T01:59:35.280Z,1.1,0.49,0.7724134538953944,,1.751988989438319,100,68,Trailing TP (Band B): peak 1.55% → current 0.65% (drop 0.90% >= 0.75%),Trailing TP,B,bid_ask,2.9845,,,
HANTA-SOL,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,4d4XPuZ5392FMYGMoPfTdoSDXfBV9nByAcVbbT7ZQ4Ho,,2026-05-09T08:52:16.246Z,6.28,2.95,3.8928300087561367,,8.28525016610491,100,165,Trailing TP (Band A): peak 6.51% → current 5.60% (drop 0.91% >= 0.75%),Trailing TP,A,bid_ask,,,,
HANTA-SOL,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,4d4XPuZ5392FMYGMoPfTdoSDXfBV9nByAcVbbT7ZQ4Ho,,2026-05-10T03:57:35.341Z,0.7,0.33,0.13028167747986732,,0.28007061840479386,85.2,81,Upper OOR close (Band A): out of range for 11m (limit: 7m),OOR,A,bid_ask,1.08,,,
HANTA-SOL,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,4d4XPuZ5392FMYGMoPfTdoSDXfBV9nByAcVbbT7ZQ4Ho,,2026-05-11T00:02:44.696Z,0.53,0.26,0.02431172385041935,,0.05062551081814955,77.3,44,Upper OOR close (Band A): out of range for 8m (limit: 7m),OOR,A,bid_ask,,,,
HANTA-SOL,2tXpgu2DLTsPUf9zFmuZmA4xrYxXKBTpVq9wAM7hzs9y,4d4XPuZ5392FMYGMoPfTdoSDXfBV9nByAcVbbT7ZQ4Ho,,2026-05-11T12:17:33.578Z,-0.07,-0.03,0,,0,20,10,Upper OOR close (Band B): out of range for 8m (limit: 4m),OOR,B,bid_ask,,,,
